fips,county,state,longitude,latitude,cases_total,type,count
,Upshur,Texas,-94.9415,32.7363,5,imported,0.0
,Upshur,Texas,-94.9415,32.7363,5,local,5.0
,Upstate,South Carolina,-82.32325826,34.77834072,920,imported,5.0
,Upstate,South Carolina,-82.32325826,34.77834072,920,local,915.0
,Utah,Utah,-111.6702,40.1199,35,imported,0.0
,Utah,Utah,-111.6702,40.1199,35,local,35.0
,Wasatch,Utah,-111.1682,40.3308,9,imported,0.0
,Wasatch,Utah,-111.1682,40.3308,9,local,9.0
,Washington,District of Columbia,-77.0163,38.9047,1,imported,1.0
,Washington,District of Columbia,-77.0163,38.9047,1,local,0.0
,Washington,Minnesota,-92.8838,45.0388,1,imported,1.0
,Washington,Minnesota,-92.8838,45.0388,1,local,0.0
,Washoe,Nevada,-119.6643,40.6655,1,imported,0.0
,Washoe,Nevada,-119.6643,40.6655,1,local,1.0
,Waukesha,Wisconsin,-88.3045,43.0182,1,imported,1.0
,Waukesha,Wisconsin,-88.3045,43.0182,1,local,0.0
,Weber-Morgan,Utah,-111.9134,41.2698,2,imported,0.0
,Weber-Morgan,Utah,-111.9134,41.2698,2,local,2.0
,Weld,Colorado,-104.3925,40.5548,1,imported,0.0
,Weld,Colorado,-104.3925,40.5548,1,local,1.0
,Western,Iowa,-95.10435,41.97493056,1,imported,0.0
,Western,Iowa,-95.10435,41.97493056,1,local,1.0
,Whatcom,Washington,-121.7199,48.8259,2,imported,2.0
,Whatcom,Washington,-121.7199,48.8259,2,local,0.0
,Williams,North Dakota,-103.4802,48.3437,19,imported,1.0
,Williams,North Dakota,-103.4802,48.3437,19,local,18.0
,Williamson,Illinois,-88.9299,37.7303,4,imported,0.0
,Williamson,Illinois,-88.9299,37.7303,4,local,4.0
,Williamson,Texas,-97.6004,30.6475,8,imported,0.0
,Williamson,Texas,-97.6004,30.6475,8,local,8.0
,Woodford,Kentucky,-84.7436,38.0424,3,imported,0.0
,Woodford,Kentucky,-84.7436,38.0424,3,local,3.0
,Yellowstone,Montana,-108.2744,45.9373,4,imported,0.0
,Yellowstone,Montana,-108.2744,45.9373,4,local,4.0
,Yoakum,Texas,-102.8278,33.173,20,imported,0.0
,Yoakum,Texas,-102.8278,33.173,20,local,20.0
,Yolo,California,-121.9011,38.6866,1,imported,0.0
,Yolo,California,-121.9011,38.6866,1,local,1.0
