Bahrain,Measles,3.00,18.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,46.00,,0.00,0.00,0.00,3.00,2.00,7.00,3.00,4.00,11.00,12.00,8.00,5.00,6.00,38.00,4.00,4.00,74.00,3.00,0.00,2.00,12.00,7.00,59.00,181.00,5.00,22.00,97.00,1910.00,1134.00,438.00,1147.00,329.00,1861.00
Bangladesh,Measles,281.00,311.00,203.00,2410.00,5827.00,2263.00,4001.00,972.00,240.00,289.00,237.00,1986.00,5625.00,788.00,718.00,2660.00,2924.00,6192.00,25934.00,9743.00,4067.00,3484.00,4414.00,5098.00,5666.00,6522.00,10329.00,4929.00,4995.00,9571.00,5443.00,5768.00,9292.00,1705.00,27327.00,11471.00,13631.00,14352.00,11699.00,11851.00,9569.00,18116.00,10441.00,11077.00
Barbados,Measles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,51.00,2.00,1.00,2.00,2.00,7.00,5.00,6.00,6.00,41.00,27.00
Belarus,Measles,193.00,0.00,3.00,0.00,201.00,259.00,1.00,10.00,2.00,64.00,16.00,10.00,50.00,1.00,0.00,0.00,1.00,149.00,1.00,2.00,21.00,14.00,45.00,21.00,153.00,517.00,135.00,395.00,1516.00,820.00,3874.00,2324.00,1351.00,224.00,,,,,,,,,,
Belgium,Measles,67.00,8.00,7.00,47.00,480.00,117.00,367.00,,47.00,70.00,39.00,109.00,576.00,40.00,33.00,98.00,64.00,15.00,26.00,61.00,44.00,,83.00,,,0.00,3869.00,7221.00,10650.00,11346.00,7373.00,9565.00,7216.00,,81044.00,47616.00,,,,,,,,
Belize,Measles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,11.00,7.00,25.00,2.00,74.00,224.00,124.00,7.00,4.00,11.00,6.00,186.00,607.00
Benin,Measles,478.00,455.00,35.00,18.00,437.00,493.00,97.00,89.00,55.00,786.00,637.00,288.00,426.00,392.00,1461.00,928.00,341.00,176.00,210.00,262.00,217.00,1588.00,5859.00,4244.00,2573.00,648.00,9521.00,1365.00,10469.00,7557.00,4102.00,3049.00,5396.00,,3281.00,5275.00,13180.00,7374.00,13210.00,13437.00,11774.00,11850.00,12378.00,18635.00
Bermuda,Measles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,4.00,56.00,4.00,0.00,3.00,1.00,20.00,4.00,22.00
Bhutan,Measles,10.00,7.00,,,2.00,18.00,66.00,45.00,11.00,0.00,0.00,1.00,10.00,21.00,6.00,7.00,11.00,2.00,11.00,3.00,0.00,27.00,756.00,418.00,9920.00,66.00,169.00,9.00,148.00,683.00,505.00,103.00,441.00,173.00,554.00,382.00,673.00,948.00,819.00,1321.00,1356.00,1868.00,1102.00,1642.00
Bolivia (Plurinational State of),Measles,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.00,1441.00,1004.00,7.00,7.00,76.00,1441.00,3391.00,4937.00,2108.00,820.00,669.00,1793.00,987.00,346.00,217.00,1270.00,2034.00,720.00,7654.00,4181.00
